,Title,Location,Price,Land Area,House Area,Bedrooms,Bathrooms,Floors,Parking,Road
114,House for Sale .,"Shital Height, Lalitpur",Rs. 5.5Cr,,,5,6,3,1 Car & 5 Bikes,13 Feet 
115,House for Sale,"Imadol, Lalitpur",Rs. 3.55Cr,,,6,5,3.5,1 Car & 5 Bikes,13 Feet 
116,House for Sale,"Imadol, Lalitpur",Rs. 2.95Cr,,,5,4,2.5,1 Car & 5 Bikes,13 Feet 
117,House for Sale,"Imadol, Lalitpur",Rs. 2.9Cr,,,6,4,3,1 Car & 5 Bikes,16 Feet 
118,House for Sale,"Tikathali, Lalitpur",Rs. 1.7Cr,,1099 Sq. Ft.,3,1,2.5,1 Car & 2 Bikes,14 Feet 
119,House for Sale,"Imadol, Lalitpur",Rs. 2.65Cr,,,4,4,2.5,1 Car & 5 Bikes,13 Feet 
120,House for Sale,"Bhangal , Kathmandu",Rs. 3.2Cr,,3000 Sq. Ft.,8,3,2.5,1 Car & 2 Bikes,15 Feet 
121,House for Sale,"Baluwakhani, Kathmandu",Rs. 9.5Cr,,4000 Sq. Ft.,18,10,4.5,2 Cars & 4 Bikes,32 Feet 
122,House for Sale,"Kapan, Kathmandu",Rs. 5.4Cr,,3000 Sq. Ft.,9,3,3,1 Car & 2 Bikes,13 Feet 
123,House for Sale,"Gokarna, Kathmandu",Rs. 1.6Cr,,1000 Sq. Ft.,2,1,1,1 Car & 1 Bike,13 Feet 
124,House for Sale,"Pasikot, Kathmandu",Rs. 6Cr,,2500 Sq. Ft.,5,3,2,1 Car & 2 Bikes,16 Feet 
125,House for Sale,"Icimod, Lalitpur",Rs. 5.2Cr,,,4,4,2.5,2 Cars ,20 Feet 
126,House for Sale,"Maharajgunj, Kathmandu",Rs. 7.5Cr,,3000 Sq. Ft.,7,5,3,1 Car & 2 Bikes,20 Feet 
127,House for Sale,"Nakhipot, Lalitpur",Rs. 2.45Cr,,3000 Sq. Ft.,4,3,3,1 Car & 2 Bikes,20 Feet 
128,House for Sale,"Kharibot, Kathmandu",Rs. 2.9Cr,,3000 Sq. Ft.,5,3,3,1 Car & 2 Bikes,32 Feet 
129,House for Sale,"Imadol, Lalitpur",Rs. 2.75Cr,,0 Sq. Ft.,5,4,3,1 Car & 5 Bikes,13 Feet 
130,House for Sale,"Kadaghari, Kathmandu",Rs. 2.9Cr,,,10,5,3.5,1 Car & 2 Bikes,12 Feet 
131,House for Sale,"Lasuntar, Kathmandu",Rs. 3.4Cr,,2500 Sq. Ft.,6,2,2.5,1 Car & 2 Bikes,16 Feet 
132,House for Sale,"Pepsicola, Kathmandu",Rs. 6.5Cr,,3500 Sq. Ft.,5,3,3.5,1 Car & 2 Bikes,20 Feet 
133,House for Sale,"Tikathali, Lalitpur",Rs. 2.3Cr,,,6,,2.5,1 Car & 3 Bikes,13 Feet 
134,House for Sale,"Imadol, Lalitpur",Rs. 3.2Cr,,,5,4,3,1 Car & 5 Bikes,13 Feet 
135,House for Sale,"Imadol, Lalitpur",Rs. 3.05Cr,,2248 Sq. Ft.,6,4,2.5,1 Car & 2 Bikes,13 Feet 
136,House for Sale,"Kadaghari, Kathmandu",Rs. 3.65Cr,,3000 Sq. Ft.,6,5,2.5,3 Cars & 3 Bikes,12 Feet 
137,House for Sale,"Harisiddhi, Lalitpur",Rs. 3.95Cr,,,5,5,2.5,1 Car & 5 Bikes,20 Feet 
138,House for Sale,"Imadol, Lalitpur",Rs. 4.15Cr,,3000 Sq. Ft.,5,4,2.5,1 Car & 4 Bikes,13 Feet 
139,House for Sale,"Tikathali, Lalitpur",Rs. 1.75Cr,,,2,1,1,1 Car & 5 Bikes,13 Feet 
140,House for Sale,"Tikathali, Lalitpur",Rs. 2.65Cr,,2000 Sq. Ft.,5,4,2.5,1 Car & 2 Bikes,12 Feet 
141,House for sale,"Satungal, Kathmandu",Rs. 2.6Cr,,2099 Sq. Ft.,5,4,2.5,2 Cars ,13 Feet 
142,House for Sale,"Nakhipot, Lalitpur",Rs. 4.15Cr,,2500 Sq. Ft.,7,5,2.5,2 Cars & 3 Bikes,16 Feet 
143,House for Sale,"Imadol, Lalitpur",Rs. 5.5Cr,,3000 Sq. Ft.,7,4,3.5,1 Car & 4 Bikes,13 Feet 
144,House On Sale,"Tikathali, Lalitpur",Rs. 3.5Cr,,,6,4,3,2 Cars & 2 Bikes,13 Feet 
145,House for Sale,"Ganesh Chowk, Kathmandu",Rs. 4.3Cr,,1711.476 Sq. Ft.,5,6,2.5,1 Car & 3 Bikes,13 Feet 
146,House for Sale,"Shital Height, Lalitpur",Rs. 2.65Cr,,2800 Sq. Ft.,5,4,3,1 Car & 4 Bikes,13 Feet 
147,House for Sale,"Ganesh Chowk, Kathmandu",Rs. 3.8Cr,,1412.022 Sq. Ft.,6,5,2.5,1 Car & 3 Bikes,13 Feet 
148,House for Sale,"Bhaisepati, Lalitpur",Rs. 4.5Cr,,1711.476 Sq. Ft.,4,5,3,2 Bikes,13 Feet 
149,House On Sale,"Imadol, Lalitpur",Rs. 3.35Cr,,,6,5,2.5,2 Cars & 2 Bikes,
150,House for Sale,"Soltimode, Kathmandu",Rs. 4.1Cr,,1198 Sq. Ft.,4,4,3,1 Car & 3 Bikes,13 Feet 
